"都道府県コード","都道府県名","市区町村コード","市区町村名","大字町丁目コード","大字町丁目名","緯度","経度","原典資料コード","大字・字・丁目区分コード"
"07","福島県","07201","福島市","072010001000","飯野町青木","37.692813","140.539338","0","1"
"07","福島県","07201","福島市","072010002000","松川町金沢","37.671583","140.488335","0","1"
"07","福島県","07201","福島市","072010003000","松川町下川崎","37.636541","140.487030","0","1"
"07","福島県","07201","福島市","072010004000","松川町沼袋","37.652919","140.498999","0","1"
"07","福島県","07201","福島市","072010005000","松川町水原","37.664352","140.388149","0","1"
"07","福島県","07201","福島市","072010006000","飯野町大久保","37.663070","140.548668","0","1"
"07","福島県","07201","福島市","072010007000","立子山","37.694975","140.516320","0","1"
"07","福島県","07201","福島市","072010008000","渡利","37.736442","140.498791","0","1"
"07","福島県","07201","福島市","072010009000","田沢","37.704069","140.488830","0","1"
"07","福島県","07201","福島市","072010010000","松川町浅川","37.678700","140.466097","0","1"
"07","福島県","07201","福島市","072010011000","松川町関谷","37.677468","140.441360","0","1"
"07","福島県","07201","福島市","072010012000","土湯温泉町","37.685746","140.290256","0","1"
"07","福島県","07201","福島市","072010013000","山田","37.701456","140.396019","0","1"
"07","福島県","07201","福島市","072010014000","荒井","37.709433","140.374347","0","1"
"07","福島県","07201","福島市","072010015000","土船","37.740620","140.369526","0","1"
"07","福島県","07201","福島市","072010016000","庄野","37.740188","140.387144","0","1"
"07","福島県","07201","福島市","072010017000","上名倉","37.728051","140.376047","0","1"
"07","福島県","07201","福島市","072010018000","桜本","37.736886","140.306143","0","1"
"07","福島県","07201","福島市","072010019000","在庭坂","37.754610","140.343193","0","1"
"07","福島県","07201","福島市","072010020000","李平","37.775400","140.270818","0","1"
"07","福島県","07201","福島市","072010021000","町庭坂","37.768502","140.305220","0","1"
"07","福島県","07201","福島市","072010022000","山口","37.759375","140.512821","0","1"
"07","福島県","07201","福島市","072010023000","大波","37.740221","140.534792","0","1"
"07","福島県","07201","福島市","072010024000","腰浜町","37.756075","140.482565","0","1"
"07","福島県","07201","福島市","072010025000","上浜町","37.754386","140.476232","0","1"
"07","福島県","07201","福島市","072010026000","舟場町","37.752285","140.473788","0","1"
"07","福島県","07201","福島市","072010027000","上町","37.753522","140.468947","0","1"
"07","福島県","07201","福島市","072010028000","大町","37.753570","140.466967","0","1"
"07","福島県","07201","福島市","072010029000","本町","37.753191","140.464891","0","1"
"07","福島県","07201","福島市","072010030000","栄町","37.754764","140.461634","0","1"
"07","福島県","07201","福島市","072010031000","太田町","37.754107","140.455945","0","1"
"07","福島県","07201","福島市","072010032001","野田町一丁目","37.754440","140.449821","0","3"
"07","福島県","07201","福島市","072010033000","八木田","37.750384","140.445770","0","1"
"07","福島県","07201","福島市","072010034000","須川町","37.750832","140.453796","0","1"
"07","福島県","07201","福島市","072010035000","本内","37.787908","140.492625","0","1"
"07","福島県","07201","福島市","072010036000","岡部","37.775468","140.502132","0","1"
"07","福島県","07201","福島市","072010037000","鎌田","37.795602","140.496775","0","1"
"07","福島県","07201","福島市","072010038000","瀬上町","37.805743","140.504865","0","1"
"07","福島県","07201","福島市","072010039000","仁井田","37.750162","140.430229","0","1"
"07","福島県","07201","福島市","072010040000","二子塚","37.757212","140.387333","0","1"
"07","福島県","07201","福島市","072010041000","大笹生","37.817044","140.352578","0","1"
"07","福島県","07201","福島市","072010042000","飯坂町","37.840970","140.430689","0","1"
"07","福島県","07201","福島市","072010043000","飯坂町湯野","37.843119","140.454372","0","1"
"07","福島県","07201","福島市","072010044000","飯坂町東湯野","37.826372","140.481473","0","1"
"07","福島県","07201","福島市","072010045000","飯坂町中野","37.855024","140.360053","0","1"
"07","福島県","07201","福島市","072010046000","飯坂町茂庭","37.912727","140.369063","0","1"
"07","福島県","07201","福島市","072010047000","飯野町","37.650814","140.539893","0","1"
"07","福島県","07201","福島市","072010048000","飯野町明治","37.655930","140.521890","0","1"
"07","福島県","07201","福島市","072010049001","松川町美郷一丁目","37.661888","140.475005","0","3"
"07","福島県","07201","福島市","072010049004","松川町美郷四丁目","37.665265","140.472233","0","3"
"07","福島県","07201","福島市","072010049002","松川町美郷二丁目","37.662547","140.467061","0","3"
"07","福島県","07201","福島市","072010049003","松川町美郷三丁目","37.666345","140.465338","0","3"
"07","福島県","07201","福島市","072010050000","松川町","37.657610","140.463216","0","1"
"07","福島県","07201","福島市","072010051001","荒井北一丁目","37.728716","140.394317","0","3"
"07","福島県","07201","福島市","072010052001","さくら一丁目","37.730071","140.393236","0","3"
"07","福島県","07201","福島市","072010052002","さくら二丁目","37.728914","140.389241","0","3"
"07","福島県","07201","福島市","072010052003","さくら三丁目","37.727518","140.387220","0","3"
"07","福島県","07201","福島市","072010051002","荒井北二丁目","37.726077","140.390152","0","3"
"07","福島県","07201","福島市","072010051003","荒井北三丁目","37.724888","140.387781","0","3"
"07","福島県","07201","福島市","072010053000","光が丘","37.689941","140.470372","0","1"
"07","福島県","07201","福島市","072010054000","金谷川","37.683170","140.455660","0","1"
"07","福島県","07201","福島市","072010055000","中町","37.751076","140.464993","0","1"
"07","福島県","07201","福島市","072010056000","早稲町","37.752016","140.462586","0","1"
"07","福島県","07201","福島市","072010057008","蓬莱町八丁目","37.695288","140.487776","0","3"
"07","福島県","07201","福島市","072010057007","蓬莱町七丁目","37.691831","140.484273","0","3"
"07","福島県","07201","福島市","072010057006","蓬莱町六丁目","37.693171","140.477369","0","3"
